Fraction,Train_Patients,Window_AUC,Patient_AUC,Patient_Acc
0.01,2,0.5709965967754248,0.5666666666666667,0.5217391304347826
0.05,3,0.6842973016604935,0.7416666666666667,0.7391304347826086
0.1,7,0.73373272929738,0.85,0.8695652173913043
1.0,88,0.7020318515387428,0.8,0.782608695652174
