ablation,source,n_patients,pos_rate,auroc_point,auroc_ci_lo,auroc_ci_hi,auprc_point,auprc_ci_lo,auprc_ci_hi,n_bootstrap
A0_VanillaNTXent,saved_predictions,23,0.34782608695652173,0.6,0.36645833333333333,0.8333333333333334,0.41976102941176474,0.32530012129169567,0.7352306547619047,1000
A1_TemporalNTXent,saved_predictions,23,0.34782608695652173,0.725,0.44145833333333334,0.9833333333333334,0.6895308924485126,0.45239788499782063,0.975,1000
A2_NTXent_TempReg,saved_predictions,23,0.34782608695652173,0.575,0.333125,0.8416666666666667,0.4111770904534062,0.3102182580958324,0.7242829792490119,1000
A3_PhysioCLR,saved_predictions,23,0.34782608695652173,0.5333333333333333,0.30833333333333335,0.7999999999999999,0.3769255050505051,0.3019568022101905,0.631050857843137,1000
