ablation,ssl_final_loss,ssl_contrastive,ssl_temporal,test_auroc,test_auprc,ssl_time_s,ds_time_s
A0_VanillaNTXent,3.2711964474753588,3.2711964474753588,0.0,0.6,0.41976102941176474,426.5,597.1
A1_TemporalNTXent,2.9172425100368145,2.9172425100368145,0.0,0.725,0.6895308924485126,493.6,677.7
A2_NTXent_TempReg,3.267214291405048,3.263648751408854,0.02377025255758046,0.575,0.4111770904534062,551.7,835.8
A3_PhysioCLR,0.953600953558693,0.9501129722759453,0.023253206372951786,0.5333333333333333,0.3769255050505051,646.1,779.3
