seed,metric,A0_val,A1_val,delta,ci_lo,ci_hi,p_value
42,AUROC,0.5416666666666667,0.7666666666666666,0.22499999999999987,0.050000000000000044,0.4085416666666666,0.003
42,AUPRC,0.4013326542738308,0.6673076923076923,0.26597503803386147,0.05694608307559874,0.40490093189082166,0.002
123,AUROC,0.7166666666666667,0.5916666666666667,-0.125,-0.3416666666666667,0.09166666666666667,0.871
123,AUPRC,0.5793612637362637,0.5021785189354848,-0.07718274480077891,-0.2802587256493507,0.09531024531024528,0.82
2025,AUROC,0.4416666666666667,0.35000000000000003,-0.09166666666666667,-0.38333333333333336,0.175,0.742
2025,AUPRC,0.3661874960788004,0.3849688474888283,0.018781351410027902,-0.23767963490220653,0.16649039847592378,0.536
