seed,n_patients,positive_rate,A0_AUROC,A1_AUROC,AUROC_delta,AUROC_p_two_sided,A0_AUPRC,A1_AUPRC,AUPRC_delta,AUPRC_p_two_sided
42,23,0.3478260934352875,0.5416666666666667,0.7666666666666666,0.22499999999999987,0.045495450454954504,0.4013326542738308,0.6673076923076923,0.26597503803386147,0.0750924907509249
123,23,0.3478260934352875,0.7166666666666667,0.5916666666666667,-0.125,0.5751424857514249,0.5793612637362637,0.5021785189354848,-0.07718274480077891,0.7199280071992801
2025,23,0.3478260934352875,0.4416666666666667,0.35000000000000003,-0.09166666666666667,0.49635036496350365,0.3661874960788004,0.3849688474888283,0.018781351410027902,0.8499150084991501
