seed,method,AUROC,AUPRC,accuracy_at_0.5
42,A0,0.5416666666666667,0.4013326542738308,0.34782608695652173
42,A1,0.7666666666666666,0.6673076923076923,0.34782608695652173
123,A0,0.7166666666666667,0.5793612637362637,0.6521739130434783
123,A1,0.5916666666666667,0.5021785189354848,0.43478260869565216
2025,A0,0.4416666666666667,0.3661874960788004,0.34782608695652173
2025,A1,0.35000000000000003,0.3849688474888283,0.34782608695652173
